threads, 32
j, 18 k, 10 , tkt1[j-1][k-1], 1.77e-06
j, 18 k, 11 , tkt1[j-1][k-1], 1.94e-06
j, 18 k, 12 , tkt1[j-1][k-1], 2.1e-06
j, 18 k, 13 , tkt1[j-1][k-1], 2.26e-06
j, 18 k, 14 , tkt1[j-1][k-1], 2.44e-06
j, 18 k, 15 , tkt1[j-1][k-1], 2.61e-06
j, 18 k, 16 , tkt1[j-1][k-1], 2.78e-06
j, 18 k, 17 , tkt1[j-1][k-1], 2.94e-06
j, 18 k, 1 , tkt2[j-1][k-1], 2e-07
j, 18 k, 2 , tkt2[j-1][k-1], 6.892e-05
j, 18 k, 3 , tkt2[j-1][k-1], 0.00013337
j, 18 k, 4 , tkt2[j-1][k-1], 0.00016856
j, 18 k, 5 , tkt2[j-1][k-1], 0.00025079
j, 18 k, 6 , tkt2[j-1][k-1], 0.00028664
j, 18 k, 7 , tkt2[j-1][k-1], 0.00032936
j, 18 k, 8 , tkt2[j-1][k-1], 0.00036797
j, 18 k, 9 , tkt2[j-1][k-1], 0.000457
j, 18 k, 10 , tkt2[j-1][k-1], 0.00058852
j, 18 k, 11 , tkt2[j-1][k-1], 0.00083583
j, 18 k, 12 , tkt2[j-1][k-1], 0.00090663
j, 18 k, 13 , tkt2[j-1][k-1], 0.00097651
j, 18 k, 14 , tkt2[j-1][k-1], 0.00101085
j, 18 k, 15 , tkt2[j-1][k-1], 0.001046441
j, 18 k, 16 , tkt2[j-1][k-1], 0.001102781
j, 18 k, 17 , tkt2[j-1][k-1], 0.001165941
j, 18 t3-t2-t2-t1, 0.001198911
j, 19 k, 1 , tkt1[j-1][k-1], 2.4e-07
j, 19 k, 2 , tkt1[j-1][k-1], 4.2e-07
j, 19 k, 3 , tkt1[j-1][k-1], 6e-07
j, 19 k, 4 , tkt1[j-1][k-1], 7.8e-07
j, 19 k, 5 , tkt1[j-1][k-1], 9.5e-07
j, 19 k, 6 , tkt1[j-1][k-1], 1.12e-06
j, 19 k, 7 , tkt1[j-1][k-1], 1.28e-06
j, 19 k, 8 , tkt1[j-1][k-1], 1.46e-06
j, 19 k, 9 , tkt1[j-1][k-1], 1.63e-06
j, 19 k, 10 , tkt1[j-1][k-1], 1.8e-06
j, 19 k, 11 , tkt1[j-1][k-1], 1.98e-06
j, 19 k, 12 , tkt1[j-1][k-1], 2.14e-06
j, 19 k, 13 , tkt1[j-1][k-1], 2.33e-06
j, 19 k, 14 , tkt1[j-1][k-1], 2.49e-06
j, 19 k, 15 , tkt1[j-1][k-1], 2.67e-06
j, 19 k, 16 , tkt1[j-1][k-1], 2.84e-06
j, 19 k, 17 , tkt1[j-1][k-1], 3.01e-06
j, 19 k, 18 , tkt1[j-1][k-1], 3.17e-06
j, 19 k, 1 , tkt2[j-1][k-1], 1.9e-07
j, 19 k, 2 , tkt2[j-1][k-1], 5.124e-05
j, 19 k, 3 , tkt2[j-1][k-1], 9.935e-05
j, 19 k, 4 , tkt2[j-1][k-1], 0.00019365
j, 19 k, 5 , tkt2[j-1][k-1], 0.00022623
j, 19 k, 6 , tkt2[j-1][k-1], 0.00031958
j, 19 k, 7 , tkt2[j-1][k-1], 0.00039114
j, 19 k, 8 , tkt2[j-1][k-1], 0.00046845
j, 19 k, 9 , tkt2[j-1][k-1], 0.00052877
j, 19 k, 10 , tkt2[j-1][k-1], 0.00057658
j, 19 k, 11 , tkt2[j-1][k-1], 0.00061616
j, 19 k, 12 , tkt2[j-1][k-1], 0.0006773
j, 19 k, 13 , tkt2[j-1][k-1], 0.00071938
j, 19 k, 14 , tkt2[j-1][k-1], 0.00081164
j, 19 k, 15 , tkt2[j-1][k-1], 0.00085142
j, 19 k, 16 , tkt2[j-1][k-1], 0.00095343
j, 19 k, 17 , tkt2[j-1][k-1], 0.000996
j, 19 k, 18 , tkt2[j-1][k-1], 0.00105641
j, 19 t3-t2-t2-t1, 0.00116752
j, 20 k, 1 , tkt1[j-1][k-1], 2.7e-07
j, 20 k, 2 , tkt1[j-1][k-1], 4.4e-07
j, 20 k, 3 , tkt1[j-1][k-1], 6e-07
j, 20 k, 4 , tkt1[j-1][k-1], 7.7e-07
j, 20 k, 5 , tkt1[j-1][k-1], 9.5e-07
j, 20 k, 6 , tkt1[j-1][k-1], 1.13e-06
j, 20 k, 7 , tkt1[j-1][k-1], 1.29e-06
j, 20 k, 8 , tkt1[j-1][k-1], 1.46e-06
j, 20 k, 9 , tkt1[j-1][k-1], 1.63e-06
j, 20 k, 10 , tkt1[j-1][k-1], 1.8e-06
j, 20 k, 11 , tkt1[j-1][k-1], 1.97e-06
j, 20 k, 12 , tkt1[j-1][k-1], 2.12e-06
j, 20 k, 13 , tkt1[j-1][k-1], 2.3e-06
j, 20 k, 14 , tkt1[j-1][k-1], 2.46e-06
j, 20 k, 15 , tkt1[j-1][k-1], 2.62e-06
j, 20 k, 16 , tkt1[j-1][k-1], 2.79e-06
j, 20 k, 17 , tkt1[j-1][k-1], 2.96e-06
j, 20 k, 18 , tkt1[j-1][k-1], 3.12e-06
j, 20 k, 19 , tkt1[j-1][k-1], 3.28e-06
j, 20 k, 1 , tkt2[j-1][k-1], 1.9e-07
j, 20 k, 2 , tkt2[j-1][k-1], 0.00010446
j, 20 k, 3 , tkt2[j-1][k-1], 0.00015363
j, 20 k, 4 , tkt2[j-1][k-1], 0.00020803
j, 20 k, 5 , tkt2[j-1][k-1], 0.000258111
j, 20 k, 6 , tkt2[j-1][k-1], 0.000313171
j, 20 k, 7 , tkt2[j-1][k-1], 0.000352011
j, 20 k, 8 , tkt2[j-1][k-1], 0.000402771
j, 20 k, 9 , tkt2[j-1][k-1], 0.000515881
j, 20 k, 10 , tkt2[j-1][k-1], 0.000669991
j, 20 k, 11 , tkt2[j-1][k-1], 0.000766601
j, 20 k, 12 , tkt2[j-1][k-1], 0.000862791
j, 20 k, 13 , tkt2[j-1][k-1], 0.001342361
j, 20 k, 14 , tkt2[j-1][k-1], 0.001404301
j, 20 k, 15 , tkt2[j-1][k-1], 0.001447101
j, 20 k, 16 , tkt2[j-1][k-1], 0.001513201
j, 20 k, 17 , tkt2[j-1][k-1], 0.001548891
j, 20 k, 18 , tkt2[j-1][k-1], 0.001612181
j, 20 k, 19 , tkt2[j-1][k-1], 0.001656951
j, 20 t3-t2-t2-t1, 0.001706211
j, 21 k, 1 , tkt1[j-1][k-1], 2.8e-07
j, 21 k, 2 , tkt1[j-1][k-1], 4.6e-07
j, 21 k, 3 , tkt1[j-1][k-1], 6.1e-07
j, 21 k, 4 , tkt1[j-1][k-1], 8e-07
